procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0 18472084  91872  15840 5788184   16 6340 20070  6340 5329 8055 56 16 27  1  0
 6  1 18481144  92588  15780 5790500    0 4862 25368  9364 1420 4678 59  6 27  9  0
 8 15 18481144  85424  13976 5730072    0 2772   512  2772 1457 2726  6  8 47 40  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  2 18481144  89832  13560 5665184   32 1348  3942  8262 1387 3449 17 39 19 25  0
10  0 18481144  92648  13216 5633540    0    2 27620     4 2374 4485 46  3 46  5  0
 4  1 18481144  94360  13088 5616868    0   12 27934    12 1308 4359 38  2 53  7  0
 1  0 18481144  93080  10952 5547728    0    4 28410 15664 1575 3800 30  4 60  6  0
 0  0 18481128  91240  10952 5547328   16    0   528     0 1064 2999  1  0 99  0  0
 0  0 18481080  91344  10960 5547332   32    0    32   246 1028 3128  0  0 100  0  0
 0  0 18481072  91464  10960 5547340    0    0     0     0 1011 3119  0  0 100  0  0
 0  0 18481048  92068  10960 5547340   16    0    16     0 1016 3152  0  0 100  0  0
10  0 18481048 311544  11016 5306548    0    0  5736    56 4119 6136 33  2 63  2  0
20  0 18481004 172688  11028 5320268   16    0  6538     0 11917 11330 88  6  6  0  0
17  2 18481144  93376  10824 5218444   16 4256 12700  4686 2121 5256 77 20  2  1  0
10  1 18481144  92556  10800 5142248    0 14492 16476 14492 1356 4565 81 16  2  1  0
16  4 18481144  90904  10804 5109644    0  862 13832   862 2251 4888 87  9  3  1  0
